date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:15	45128/45128	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-b048%22	https://themewagon.github.io/finanza/	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/index.html	(from )
19:42:15	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://themewagon.github.io/robots.txt		(from )
19:42:15	11080/11080	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22639afef6-2b48%22	https://themewagon.github.io/finanza/img/favicon.ico	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/img/favicon.ico	(from https://themewagon.github.io/finanza/)
19:42:16	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/finanza/)
19:42:16	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/finanza/)
19:42:16	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%22639afef6-4239%22	https://themewagon.github.io/finanza/lib/animate/animate.min.css	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/lib/animate/animate.min.css	(from https://themewagon.github.io/finanza/)
19:42:17	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639afef6-b78%22	https://themewagon.github.io/finanza/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/finanza/)
19:42:17	164045/164045	---M-Z	200	added ('OK')	text/css	etag:W/%22639afef6-280cd%22	https://themewagon.github.io/finanza/css/bootstrap.min.css	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/css/bootstrap.min.css	(from https://themewagon.github.io/finanza/)
19:42:18	9503/9503	---M-Z	200	added ('OK')	text/css	etag:W/%22639afef6-251f%22	https://themewagon.github.io/finanza/css/style.css	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/css/style.css	(from https://themewagon.github.io/finanza/)
19:42:18	45128/45128	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-b048%22	https://themewagon.github.io/finanza/index.html	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/index-2.html	(from https://themewagon.github.io/finanza/)
19:42:18	22015/22015	---M-Z	200	added ('OK')	text/html	etag:W/%22639afef6-55ff%22	https://themewagon.github.io/finanza/about.html	C:/My%20Web%20Sites/https___themewagon.github.io_finanza_/themewagon.github.io/finanza/about.html	(from https://themewagon.github.io/finanza/)
